Name,price,a_fuel,b_fuel,a_el,b_el,a_th,b_th,psi_min,parasitic_load,mant_costs
ENER-G 35,94155.57253,79.6,45.32777778,36,-1,36,26,0.6,6.73,0.02
ENER-G 50,114807.8326,123.8222222,39.43148148,50,-0.166666667,54,24.83333333,0.6,6.91,0.02
ENER-G 90,159185.326,247.6444444,61.91111111,90,-0.166666667,120,42.66666667,0.6,8.06,0.02
ENER-G 100,168789.0216,271.9666667,64.30648148,100,0,128,46.66666667,0.6,8.06,0.02
ENER-G 110,177974.8062,298.5,64.30648148,110,-0.166666667,136,49.66666667,0.6,8.06,0.02
ENER-G 125,188521.2287,331.6666667,65.22777778,122,0.166666667,148,52,0.6,8.06,0.02
ENER-G 135,199438.8545,344.9333333,92.12962963,136,-1,174,44.83333333,0.6,11.11,0.02
ENER-G 150,211471.0569,380.3111111,94.70925926,150,0.166666667,184,51.33333333,0.6,11.11,0.02
ENER-G 165,222979.6702,428.9555556,128.612963,166,-1.166666667,226,58.83333333,0.6,11.41,0.02
ENER-G 185,237624.7521,477.6,130.8240741,186,-1.166666667,244,65,0.6,11.41,0.02
ENER-G 210,254975.3072,535.0888889,135.6148148,210,-0.166666667,266,72.5,0.6,11.41,0.02
ENER-G 230,267554.786,579.3111111,137.8259259,230,-1.166666667,280,78.66666667,0.6,11.41,0.02
ENER-G 310,316622,802.6333333,102.2638889,310,-0.166666667,244,112.6666667,0.6,18.41,0.02
ENER-G 375,352491,959.6222222,113.8722222,376,0,272,128,0.6,19.41,0.02
ENER-G 400M,367358,1072.388889,81.25833333,404,1,432,81.66666667,0.6,21.81,0.02
ENER-G 425,377830,1065.755556,153.6722222,426,-0.166666667,292,172,0.6,21.81,0.02
ENER-G 500,413938,1275.811111,143.1694444,502,-0.166666667,352,172.6666667,0.6,10,0.02
ENER-G E530M,427515,1390.788889,91.20833333,532,0,590,58.16666667,0.6,23.0888,0.02
ENER-G E770,527360,1848.488889,180.5740741,776,0,686,137.1666667,0.6,31.04,0.02
ENER-G 850,556205,2009.9,196.9731481,854,-0.166666667,754,137.5,0.6,34.16,0.02
Doosan 460,1196000,1000,0,460,0,450,0,0.1,0,0.017
